,0
cash_price16,0.16395395895695822
Nbr_of_prod_purchas16,0.14108420671736877
cash_price14,0.0790136673890423
cash_price19,0.0759415911848771
Nbr_of_prod_purchas22,0.07530766903514763
Nbr_of_prod_purchas20,0.0719217221537072
cash_price24,0.06973331720218263
Nbr_of_prod_purchas21,0.06863436782412848
Nbr_of_prod_purchas10,0.06118807114384105
cash_price15,0.0574953892469573
cash_price22,0.056728551876569354
Nbr_of_prod_purchas18,0.05398528936031523
cash_price23,0.05343276458656964
Nbr_of_prod_purchas24,0.05218735622536943
cash_price1,0.05185066893828614
ID,0.022066166701410247
