,0
make23,99.9525821191482
make24,99.9525821191482
model23,99.9525821191482
model24,99.9525821191482
cash_price23,99.94827140270714
cash_price24,99.94827140270714
item23,99.94827140270714
item24,99.94827140270714
goods_code23,99.94827140270714
goods_code24,99.94827140270714
nbr_of_prod_purchas23,99.94827140270714
nbr_of_prod_purchas24,99.94827140270714
model22,99.94396068626605
make22,99.94396068626605
item22,99.93964996982498
cash_price22,99.93964996982498
nbr_of_prod_purchas22,99.93964996982498
goods_code22,99.93964996982498
model21,99.93533925338392
make21,99.93533925338392
nbr_of_prod_purchas21,99.93102853694285
goods_code21,99.93102853694285
cash_price21,99.93102853694285
item21,99.93102853694285
make20,99.92671782050176
model20,99.92671782050176
cash_price20,99.9224071040607
item20,99.9224071040607
goods_code20,99.9224071040607
nbr_of_prod_purchas20,99.9224071040607
model19,99.88792137253212
make19,99.88792137253212
cash_price19,99.88361065609104
item19,99.88361065609104
nbr_of_prod_purchas19,99.88361065609104
goods_code19,99.88361065609104
make18,99.87067850676783
model18,99.87067850676783
goods_code18,99.86636779032675
nbr_of_prod_purchas18,99.86636779032675
cash_price18,99.86636779032675
item18,99.86636779032675
model17,99.85343564100353
make17,99.85343564100353
nbr_of_prod_purchas17,99.84912492456246
item17,99.84912492456246
cash_price17,99.84912492456246
goods_code17,99.84912492456246
make16,99.84050349168032
model16,99.84050349168032
item16,99.83619277523924
cash_price16,99.83619277523924
nbr_of_prod_purchas16,99.83619277523924
goods_code16,99.83619277523924
model15,99.81894990947495
make15,99.81894990947495
nbr_of_prod_purchas15,99.81463919303388
goods_code15,99.81463919303388
cash_price15,99.81463919303388
item15,99.81463919303388
make14,99.78446417794638
model14,99.78446417794638
cash_price14,99.78015346150531
nbr_of_prod_purchas14,99.78015346150531
item14,99.78015346150531
goods_code14,99.78015346150531
model13,99.72842486421243
make13,99.72842486421243
nbr_of_prod_purchas13,99.72411414777136
cash_price13,99.72411414777136
goods_code13,99.72411414777136
item13,99.72411414777136
model12,99.68531769980171
make12,99.68531769980171
item12,99.68100698336063
goods_code12,99.68100698336063
nbr_of_prod_purchas12,99.68100698336063
cash_price12,99.68100698336063
make11,99.62927838606777
model11,99.62927838606777
nbr_of_prod_purchas11,99.6249676696267
item11,99.6249676696267
cash_price11,99.6249676696267
goods_code11,99.6249676696267
model10,99.5473747736874
make10,99.5473747736874
nbr_of_prod_purchas10,99.54306405724631
cash_price10,99.54306405724631
item10,99.54306405724631
goods_code10,99.54306405724631
make9,99.43098542977843
model9,99.43098542977843
cash_price9,99.41805328045521
item9,99.41805328045521
nbr_of_prod_purchas9,99.41805328045521
goods_code9,99.41805328045521
model8,99.24562462281231
make8,99.24562462281231
item8,99.2326924734891
cash_price8,99.2326924734891
nbr_of_prod_purchas8,99.2326924734891
goods_code8,99.2326924734891
model7,98.9826709199069
make7,98.9826709199069
cash_price7,98.96973877058367
item7,98.96973877058367
goods_code7,98.96973877058367
nbr_of_prod_purchas7,98.96973877058367
make6,98.56022070868178
model6,98.56022070868178
goods_code6,98.53435641003536
cash_price6,98.53435641003536
item6,98.53435641003536
nbr_of_prod_purchas6,98.53435641003536
make5,97.62479524096905
model5,97.62479524096905
cash_price5,97.59462022588154
goods_code5,97.59462022588154
nbr_of_prod_purchas5,97.59462022588154
item5,97.59462022588154
model4,95.0771618242952
make4,95.0771618242952
item4,95.02112251056126
cash_price4,95.02112251056126
nbr_of_prod_purchas4,95.02112251056126
goods_code4,95.02112251056126
make3,85.7789464609018
model3,85.7789464609018
goods_code3,85.63238210190534
item3,85.63238210190534
cash_price3,85.63238210190534
nbr_of_prod_purchas3,85.63238210190534
make2,51.806190188809374
model2,51.806190188809374
nbr_of_prod_purchas2,51.38373997758428
goods_code2,51.38373997758428
item2,51.38373997758428
cash_price2,51.38373997758428
make1,0.8707647210966462
model1,0.8707647210966462
id,0.0
item1,0.0
cash_price1,0.0
goods_code1,0.0
nbr_of_prod_purchas1,0.0
nb_of_items,0.0
